Time,Station,pH,DO,Temperature,Salinity
31/01/2023 23:55:00,SVDT2,8.2,80.1,23.6,0
31/01/2023 23:50:00,SVDT2,8.2,80.1,23.7,0
31/01/2023 23:45:00,SVDT2,8.2,80.2,23.7,0
31/01/2023 23:40:00,SVDT2,8.2,80.1,23.8,0
31/01/2023 23:35:00,SVDT2,8.2,80.1,23.9,0.1
31/01/2023 23:30:00,SVDT2,8.2,80.2,24,0
31/01/2023 23:25:00,SVDT2,8.2,80.2,23.6,0
31/01/2023 23:20:00,SVDT2,8.2,80.1,24.1,0
31/01/2023 23:15:00,SVDT2,8.2,80.1,24.1,0
31/01/2023 23:10:00,SVDT2,8.2,80.1,24,0
31/01/2023 23:05:00,SVDT2,8.2,80.1,23.6,0
31/01/2023 23:00:00,SVDT2,8.2,80.1,24,0
31/01/2023 22:55:00,SVDT2,8.2,80.1,24,0.1
31/01/2023 22:50:00,SVDT2,8.2,80,24,0.1
31/01/2023 22:45:00,SVDT2,8.2,80,24,0
31/01/2023 22:40:00,SVDT2,8.2,80,24,0
31/01/2023 22:35:00,SVDT2,8.2,80,23.9,0
31/01/2023 22:30:00,SVDT2,8.2,79.9,23.9,0
31/01/2023 22:25:00,SVDT2,8.2,80,24,0
31/01/2023 22:20:00,SVDT2,8.2,79.9,23.6,0
31/01/2023 22:15:00,SVDT2,8.2,79.9,24,0
31/01/2023 22:10:00,SVDT2,8.2,79.9,24,0
31/01/2023 22:05:00,SVDT2,8.2,79.9,24.1,0
31/01/2023 22:00:00,SVDT2,8.2,79.9,24.1,0
31/01/2023 21:55:00,SVDT2,8.2,79.9,24.2,0
31/01/2023 21:50:00,SVDT2,8.2,79.9,23.9,0
31/01/2023 21:45:00,SVDT2,8.2,79.8,24.3,0
31/01/2023 21:40:00,SVDT2,8.2,79.7,24.4,0
31/01/2023 21:35:00,SVDT2,8.2,79.8,24.4,0
31/01/2023 21:30:00,SVDT2,8.2,79.7,24.4,0
31/01/2023 21:25:00,SVDT2,8.2,79.8,24.4,0
31/01/2023 21:20:00,SVDT2,8.2,79.7,24.4,0
31/01/2023 21:15:00,SVDT2,8.2,79.6,23.6,0
31/01/2023 21:10:00,SVDT2,8.2,79.6,24.4,0
31/01/2023 21:05:00,SVDT2,8.2,79.6,24.4,0
31/01/2023 21:00:00,SVDT2,8.2,79.5,24.6,0
31/01/2023 20:55:00,SVDT2,8.2,79.5,24.7,0
31/01/2023 20:50:00,SVDT2,8.2,79.5,24.8,0
31/01/2023 20:45:00,SVDT2,8.2,79.5,24.5,0
31/01/2023 20:40:00,SVDT2,8.2,79.4,25,0
31/01/2023 20:35:00,SVDT2,8.2,79.5,25.2,0
31/01/2023 20:30:00,SVDT2,8.2,79.4,25.3,0
31/01/2023 20:25:00,SVDT2,8.2,79.4,24.9,0
31/01/2023 20:20:00,SVDT2,8.2,79.3,25.3,0
31/01/2023 20:15:00,SVDT2,8.2,79.3,25.4,0
